
The following have been reloaded with a version change:
  1) CUDA/9.1.85-GCC-6.4.0-2.28 => CUDA/9.1.85

Modules loaded

Currently Loaded Modules:
  1) GCCcore/6.4.0
  2) binutils/2.28-GCCcore-6.4.0
  3) GCC/6.4.0-2.28
  4) gcccuda/2018a
  5) numactl/2.0.11-GCCcore-6.4.0
  6) zlib/1.2.11-GCCcore-6.4.0
  7) XZ/5.2.3-GCCcore-6.4.0
  8) libxml2/2.9.7-GCCcore-6.4.0
  9) libpciaccess/0.14-GCCcore-6.4.0
 10) hwloc/1.11.8-GCCcore-6.4.0
 11) OpenMPI/2.1.2-gcccuda-2018a
 12) OpenBLAS/0.2.20-GCC-6.4.0-2.28
 13) gompic/2018a
 14) FFTW/3.3.7-gompic-2018a
 15) ScaLAPACK/2.0.2-gompic-2018a-OpenBLAS-0.2.20
 16) fosscuda/2018a
 17) bzip2/1.0.6-GCCcore-6.4.0
 18) ncurses/6.0-GCCcore-6.4.0
 19) libreadline/7.0-GCCcore-6.4.0
 20) Tcl/8.6.8-GCCcore-6.4.0
 21) SQLite/3.21.0-GCCcore-6.4.0
 22) GMP/6.1.2-GCCcore-6.4.0
 23) libffi/3.2.1-GCCcore-6.4.0
 24) Python/3.6.4-fosscuda-2018a
 25) CUDA/9.1.85

 

Creating venv
Requirement already up-to-date: pip in ./venv/lib/python3.6/site-packages (19.3.1)
Requirement already up-to-date: setuptools in ./venv/lib/python3.6/site-packages (41.6.0)
Requirement already satisfied: cycler==0.10.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 1)) (0.10.0)
Requirement already satisfied: decorator==4.4.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 2)) (4.4.1)
Requirement already satisfied: imageio==2.6.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 3)) (2.6.1)
Requirement already satisfied: kiwisolver==1.1.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 4)) (1.1.0)
Requirement already satisfied: matplotlib==3.1.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 5)) (3.1.1)
Requirement already satisfied: networkx==2.4 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 6)) (2.4)
Requirement already satisfied: numpy==1.17.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 7)) (1.17.3)
Requirement already satisfied: pandas==0.25.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 8)) (0.25.3)
Requirement already satisfied: Pillow==6.2.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 9)) (6.2.1)
Requirement already satisfied: pyparsing==2.4.4 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 10)) (2.4.4)
Requirement already satisfied: python-dateutil==2.8.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 11)) (2.8.1)
Requirement already satisfied: pytz==2019.3 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 12)) (2019.3)
Requirement already satisfied: PyWavelets==1.1.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 13)) (1.1.1)
Requirement already satisfied: scikit-image==0.16.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 14)) (0.16.2)
Requirement already satisfied: scipy==1.3.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 15)) (1.3.2)
Requirement already satisfied: six==1.13.0 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 16)) (1.13.0)
Requirement already satisfied: torch==1.3.1 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 17)) (1.3.1)
Requirement already satisfied: torchvision==0.4.2 in ./venv/lib/python3.6/site-packages (from -r requirements.txt (line 18)) (0.4.2)
Requirement already satisfied: setuptools in ./venv/lib/python3.6/site-packages (from kiwisolver==1.1.0->-r requirements.txt (line 4)) (41.6.0)
Starting execution
Starting Training
Epoch 1/200, time elapsed: 64.96s, training loss: 16345.549366344105, validation loss: 99599.7578125 -- validation accuracy: 0.38357919454574585, test accuracy: 0.3799273669719696
Epoch 26/200, time elapsed: 1159.26s, training loss: 348.25154714873344, validation loss: 475.66522216796875 -- validation accuracy: 0.8937998414039612, test accuracy: 0.8997963666915894
Epoch 27/200, time elapsed: 1207.72s, training loss: 347.5928927334872, validation loss: 396.478515625 -- validation accuracy: 0.9041761159896851, test accuracy: 0.903898298740387
Epoch 28/200, time elapsed: 1256.11s, training loss: 348.8480067397609, validation loss: 383.1162414550781 -- validation accuracy: 0.905968427658081, test accuracy: 0.9061988592147827
Epoch 29/200, time elapsed: 1298.64s, training loss: 340.97661058830494, validation loss: 490.31524658203125 -- validation accuracy: 0.893045961856842, test accuracy: 0.9061988592147827
Epoch 30/200, time elapsed: 1341.20s, training loss: 342.85505814985794, validation loss: 462.9898681640625 -- validation accuracy: 0.8953315615653992, test accuracy: 0.9061988592147827
Epoch 31/200, time elapsed: 1383.66s, training loss: 338.6517491196141, validation loss: 426.9822082519531 -- validation accuracy: 0.8996948599815369, test accuracy: 0.9061988592147827
Epoch 32/200, time elapsed: 1426.08s, training loss: 338.1475645123106, validation loss: 455.3787841796875 -- validation accuracy: 0.896601140499115, test accuracy: 0.9061988592147827
Epoch 33/200, time elapsed: 1468.48s, training loss: 334.5086115056818, validation loss: 429.4373779296875 -- validation accuracy: 0.899508535861969, test accuracy: 0.9061988592147827
Epoch 34/200, time elapsed: 1510.98s, training loss: 336.0506887724905, validation loss: 399.86376953125 -- validation accuracy: 0.9036968946456909, test accuracy: 0.9061988592147827
Epoch 35/200, time elapsed: 1553.53s, training loss: 338.2898957223603, validation loss: 441.6103820800781 -- validation accuracy: 0.8966255187988281, test accuracy: 0.9061988592147827
Epoch 36/200, time elapsed: 1596.11s, training loss: 334.1912564364347, validation loss: 425.85418701171875 -- validation accuracy: 0.9002261161804199, test accuracy: 0.9061988592147827
Epoch 37/200, time elapsed: 1639.07s, training loss: 336.44354248046875, validation loss: 392.4029846191406 -- validation accuracy: 0.9059664607048035, test accuracy: 0.9061988592147827
Epoch 38/200, time elapsed: 1682.17s, training loss: 337.5397967714252, validation loss: 418.92803955078125 -- validation accuracy: 0.9019949436187744, test accuracy: 0.9061988592147827
Epoch 39/200, time elapsed: 1725.12s, training loss: 337.16576593572444, validation loss: 436.49981689453125 -- validation accuracy: 0.8981362581253052, test accuracy: 0.9061988592147827
Epoch 40/200, time elapsed: 1767.96s, training loss: 332.7298066110322, validation loss: 389.50885009765625 -- validation accuracy: 0.9051752090454102, test accuracy: 0.9061988592147827
Epoch 41/200, time elapsed: 1810.78s, training loss: 337.1160287568064, validation loss: 416.7464599609375 -- validation accuracy: 0.9018507599830627, test accuracy: 0.9061988592147827
Epoch 42/200, time elapsed: 1859.78s, training loss: 335.1911602598248, validation loss: 381.3908386230469 -- validation accuracy: 0.9067480564117432, test accuracy: 0.9066554307937622
Epoch 43/200, time elapsed: 1902.81s, training loss: 332.1873261422822, validation loss: 381.4249267578125 -- validation accuracy: 0.9062599539756775, test accuracy: 0.9066554307937622
Epoch 44/200, time elapsed: 1945.78s, training loss: 335.356738466205, validation loss: 409.6614685058594 -- validation accuracy: 0.9013111591339111, test accuracy: 0.9066554307937622
Epoch 45/200, time elapsed: 1994.89s, training loss: 333.088847767223, validation loss: 377.458251953125 -- validation accuracy: 0.9080554246902466, test accuracy: 0.9071612358093262
Epoch 46/200, time elapsed: 2037.93s, training loss: 329.1855977376302, validation loss: 454.206787109375 -- validation accuracy: 0.8949263691902161, test accuracy: 0.9071612358093262
Epoch 47/200, time elapsed: 2080.89s, training loss: 333.4799638227983, validation loss: 467.2275085449219 -- validation accuracy: 0.8944692015647888, test accuracy: 0.9071612358093262
Epoch 48/200, time elapsed: 2123.91s, training loss: 331.16421601266575, validation loss: 422.3420104980469 -- validation accuracy: 0.8999502062797546, test accuracy: 0.9071612358093262
Epoch 49/200, time elapsed: 2166.74s, training loss: 340.373515735973, validation loss: 392.3531799316406 -- validation accuracy: 0.9049882292747498, test accuracy: 0.9071612358093262
Epoch 50/200, time elapsed: 2209.08s, training loss: 331.5853234493371, validation loss: 384.15771484375 -- validation accuracy: 0.9068282842636108, test accuracy: 0.9071612358093262
Epoch 51/200, time elapsed: 2252.05s, training loss: 331.0057178844105, validation loss: 392.1359558105469 -- validation accuracy: 0.9053270220756531, test accuracy: 0.9071612358093262
Epoch 52/200, time elapsed: 2295.05s, training loss: 334.8802892511541, validation loss: 416.01837158203125 -- validation accuracy: 0.9018392562866211, test accuracy: 0.9071612358093262
Epoch 53/200, time elapsed: 2338.11s, training loss: 334.3528192693537, validation loss: 399.9648742675781 -- validation accuracy: 0.9024953842163086, test accuracy: 0.9071612358093262
Epoch 54/200, time elapsed: 2380.94s, training loss: 331.32377393317944, validation loss: 392.9610595703125 -- validation accuracy: 0.9055067300796509, test accuracy: 0.9071612358093262
Epoch 55/200, time elapsed: 2429.79s, training loss: 334.3644954796993, validation loss: 377.06640625 -- validation accuracy: 0.9084793329238892, test accuracy: 0.9072935581207275
Epoch 56/200, time elapsed: 2472.62s, training loss: 332.236709132339, validation loss: 395.33233642578125 -- validation accuracy: 0.9048086404800415, test accuracy: 0.9072935581207275
Epoch 57/200, time elapsed: 2515.49s, training loss: 328.2030741373698, validation loss: 382.2147216796875 -- validation accuracy: 0.9069868922233582, test accuracy: 0.9072935581207275
Epoch 58/200, time elapsed: 2558.48s, training loss: 326.43474047111744, validation loss: 393.5951843261719 -- validation accuracy: 0.9072310924530029, test accuracy: 0.9072935581207275
Epoch 59/200, time elapsed: 2601.40s, training loss: 336.7390118223248, validation loss: 401.9715270996094 -- validation accuracy: 0.903510332107544, test accuracy: 0.9072935581207275
Epoch 60/200, time elapsed: 2644.61s, training loss: 328.5774235580907, validation loss: 406.3116455078125 -- validation accuracy: 0.9018815755844116, test accuracy: 0.9072935581207275
Epoch 61/200, time elapsed: 2687.44s, training loss: 325.0553662849195, validation loss: 391.253173828125 -- validation accuracy: 0.9062208533287048, test accuracy: 0.9072935581207275
Epoch 62/200, time elapsed: 2730.33s, training loss: 329.99281172318894, validation loss: 373.2107238769531 -- validation accuracy: 0.90830397605896, test accuracy: 0.9072935581207275
Epoch 63/200, time elapsed: 2773.48s, training loss: 329.18152410333806, validation loss: 388.5985107421875 -- validation accuracy: 0.9060271978378296, test accuracy: 0.9072935581207275
Epoch 64/200, time elapsed: 2816.47s, training loss: 323.8098310990767, validation loss: 408.066162109375 -- validation accuracy: 0.9018729329109192, test accuracy: 0.9072935581207275
Epoch 65/200, time elapsed: 2859.43s, training loss: 325.88169167258525, validation loss: 386.54541015625 -- validation accuracy: 0.9072388410568237, test accuracy: 0.9072935581207275
Epoch 66/200, time elapsed: 2902.56s, training loss: 326.53075247099906, validation loss: 388.75921630859375 -- validation accuracy: 0.9060119390487671, test accuracy: 0.9072935581207275
Epoch 67/200, time elapsed: 2945.78s, training loss: 322.3519712505919, validation loss: 394.9076843261719 -- validation accuracy: 0.9057056307792664, test accuracy: 0.9072935581207275
Epoch 68/200, time elapsed: 2988.68s, training loss: 326.5084117542614, validation loss: 380.1453857421875 -- validation accuracy: 0.9069272875785828, test accuracy: 0.9072935581207275
Epoch 69/200, time elapsed: 3031.58s, training loss: 330.02237215909093, validation loss: 380.4491882324219 -- validation accuracy: 0.9064459800720215, test accuracy: 0.9072935581207275
Epoch 70/200, time elapsed: 3074.63s, training loss: 325.32511763139206, validation loss: 373.6004943847656 -- validation accuracy: 0.9078390002250671, test accuracy: 0.9072935581207275
Epoch 71/200, time elapsed: 3117.61s, training loss: 326.471972841205, validation loss: 406.0564880371094 -- validation accuracy: 0.9042823314666748, test accuracy: 0.9072935581207275
Epoch 72/200, time elapsed: 3160.57s, training loss: 331.9525960286458, validation loss: 395.91845703125 -- validation accuracy: 0.9055655002593994, test accuracy: 0.9072935581207275
Epoch 73/200, time elapsed: 3203.43s, training loss: 319.7063913056345, validation loss: 404.5343322753906 -- validation accuracy: 0.9033485651016235, test accuracy: 0.9072935581207275
Epoch 74/200, time elapsed: 3246.35s, training loss: 324.044951467803, validation loss: 389.7257995605469 -- validation accuracy: 0.9062655568122864, test accuracy: 0.9072935581207275
Epoch 75/200, time elapsed: 3289.36s, training loss: 325.82635498046875, validation loss: 390.11260986328125 -- validation accuracy: 0.9062616229057312, test accuracy: 0.9072935581207275
Epoch 76/200, time elapsed: 3332.27s, training loss: 329.03556685014206, validation loss: 388.126220703125 -- validation accuracy: 0.9064497947692871, test accuracy: 0.9072935581207275
Epoch 77/200, time elapsed: 3375.43s, training loss: 325.40805608575994, validation loss: 392.39288330078125 -- validation accuracy: 0.9067212343215942, test accuracy: 0.9072935581207275
Epoch 78/200, time elapsed: 3418.74s, training loss: 329.03246053059894, validation loss: 386.0894470214844 -- validation accuracy: 0.9065534472465515, test accuracy: 0.9072935581207275
Epoch 79/200, time elapsed: 3461.73s, training loss: 320.53556407581675, validation loss: 425.876220703125 -- validation accuracy: 0.9010060429573059, test accuracy: 0.9072935581207275
Epoch 80/200, time elapsed: 3504.80s, training loss: 324.4471407803622, validation loss: 371.4581604003906 -- validation accuracy: 0.9084097743034363, test accuracy: 0.9072935581207275
Epoch 81/200, time elapsed: 3547.66s, training loss: 321.3776966441761, validation loss: 419.9106140136719 -- validation accuracy: 0.9020777940750122, test accuracy: 0.9072935581207275
Epoch 82/200, time elapsed: 3590.48s, training loss: 323.6896621241714, validation loss: 412.944580078125 -- validation accuracy: 0.9032831788063049, test accuracy: 0.9072935581207275
Epoch 83/200, time elapsed: 3639.31s, training loss: 333.1664095791903, validation loss: 367.8341369628906 -- validation accuracy: 0.9088805913925171, test accuracy: 0.9071850776672363
Epoch 84/200, time elapsed: 3682.35s, training loss: 326.0556233723958, validation loss: 396.9086608886719 -- validation accuracy: 0.9042398929595947, test accuracy: 0.9071850776672363
Epoch 85/200, time elapsed: 3725.16s, training loss: 322.49426824396306, validation loss: 387.6182556152344 -- validation accuracy: 0.9054635763168335, test accuracy: 0.9071850776672363
Epoch 86/200, time elapsed: 3774.16s, training loss: 317.90104074189156, validation loss: 368.1434631347656 -- validation accuracy: 0.9097501039505005, test accuracy: 0.9082684516906738
Epoch 87/200, time elapsed: 3817.03s, training loss: 312.3698564009233, validation loss: 367.7273864746094 -- validation accuracy: 0.9095331430435181, test accuracy: 0.9082684516906738
Epoch 88/200, time elapsed: 3860.07s, training loss: 303.5449135520241, validation loss: 420.89398193359375 -- validation accuracy: 0.8999053835868835, test accuracy: 0.9082684516906738
Epoch 89/200, time elapsed: 3911.16s, training loss: 283.7961065118963, validation loss: 328.4921875 -- validation accuracy: 0.9179424047470093, test accuracy: 0.9138351678848267
Epoch 90/200, time elapsed: 3954.56s, training loss: 276.8112908565637, validation loss: 343.0919494628906 -- validation accuracy: 0.9141979217529297, test accuracy: 0.9138351678848267
Epoch 91/200, time elapsed: 3997.78s, training loss: 274.22557345303625, validation loss: 367.2564392089844 -- validation accuracy: 0.9113137125968933, test accuracy: 0.9138351678848267
Epoch 92/200, time elapsed: 4040.76s, training loss: 271.13774432558, validation loss: 338.83331298828125 -- validation accuracy: 0.9158427715301514, test accuracy: 0.9138351678848267
Epoch 93/200, time elapsed: 4083.78s, training loss: 268.3109357429273, validation loss: 337.6379089355469 -- validation accuracy: 0.9146517515182495, test accuracy: 0.9138351678848267
Epoch 94/200, time elapsed: 4126.79s, training loss: 264.3639877781724, validation loss: 370.43316650390625 -- validation accuracy: 0.9110767245292664, test accuracy: 0.9138351678848267
Epoch 95/200, time elapsed: 4169.77s, training loss: 263.08615805886006, validation loss: 358.9819030761719 -- validation accuracy: 0.9122876524925232, test accuracy: 0.9138351678848267
Epoch 96/200, time elapsed: 4212.83s, training loss: 273.1832645300663, validation loss: 402.0387878417969 -- validation accuracy: 0.9091228246688843, test accuracy: 0.9138351678848267
Epoch 97/200, time elapsed: 4255.90s, training loss: 279.81501538825756, validation loss: 342.9125061035156 -- validation accuracy: 0.9131171107292175, test accuracy: 0.9138351678848267
Epoch 98/200, time elapsed: 4304.79s, training loss: 265.310742002545, validation loss: 329.1764221191406 -- validation accuracy: 0.9193137288093567, test accuracy: 0.9145773649215698
Epoch 99/200, time elapsed: 4347.77s, training loss: 261.1761553215258, validation loss: 327.4140930175781 -- validation accuracy: 0.9180988669395447, test accuracy: 0.9145773649215698
Epoch 100/200, time elapsed: 4390.72s, training loss: 264.75335693359375, validation loss: 355.19024658203125 -- validation accuracy: 0.9147411584854126, test accuracy: 0.9145773649215698
Epoch 101/200, time elapsed: 4433.97s, training loss: 262.22270063920456, validation loss: 334.97894287109375 -- validation accuracy: 0.916888415813446, test accuracy: 0.9145773649215698
Epoch 102/200, time elapsed: 4482.93s, training loss: 257.65839131673175, validation loss: 328.3630065917969 -- validation accuracy: 0.9200316667556763, test accuracy: 0.9158263206481934
Epoch 103/200, time elapsed: 4525.87s, training loss: 261.6015023896189, validation loss: 372.61065673828125 -- validation accuracy: 0.9088534712791443, test accuracy: 0.9158263206481934
Epoch 104/200, time elapsed: 4568.94s, training loss: 261.2368894634825, validation loss: 334.6540222167969 -- validation accuracy: 0.9177995324134827, test accuracy: 0.9158263206481934
Epoch 105/200, time elapsed: 4611.90s, training loss: 262.2983675870028, validation loss: 358.580078125 -- validation accuracy: 0.9150123000144958, test accuracy: 0.9158263206481934
Epoch 106/200, time elapsed: 4654.86s, training loss: 260.04643018317944, validation loss: 334.0754699707031 -- validation accuracy: 0.9174734354019165, test accuracy: 0.9158263206481934
Epoch 107/200, time elapsed: 4697.92s, training loss: 261.18340602065575, validation loss: 353.9956970214844 -- validation accuracy: 0.9144893884658813, test accuracy: 0.9158263206481934
Epoch 108/200, time elapsed: 4740.87s, training loss: 258.050424749201, validation loss: 331.3743896484375 -- validation accuracy: 0.9194460511207581, test accuracy: 0.9158263206481934
Epoch 109/200, time elapsed: 4783.80s, training loss: 256.9118379535097, validation loss: 331.381591796875 -- validation accuracy: 0.9194624423980713, test accuracy: 0.9158263206481934
Epoch 110/200, time elapsed: 4826.90s, training loss: 259.64507085626775, validation loss: 363.32000732421875 -- validation accuracy: 0.9127667546272278, test accuracy: 0.9158263206481934
Epoch 111/200, time elapsed: 4869.79s, training loss: 261.1942416104403, validation loss: 330.65728759765625 -- validation accuracy: 0.917094886302948, test accuracy: 0.9158263206481934
Epoch 112/200, time elapsed: 4912.78s, training loss: 255.77662242542613, validation loss: 323.5270690917969 -- validation accuracy: 0.9192614555358887, test accuracy: 0.9158263206481934
Epoch 113/200, time elapsed: 4955.79s, training loss: 258.5253536339962, validation loss: 325.2373352050781 -- validation accuracy: 0.9191160202026367, test accuracy: 0.9158263206481934
Epoch 114/200, time elapsed: 5001.24s, training loss: 259.86762260668206, validation loss: 527.4592895507812 -- validation accuracy: 0.8915668725967407, test accuracy: 0.9158263206481934
Epoch 115/200, time elapsed: 5044.30s, training loss: 260.5627913041548, validation loss: 320.50341796875 -- validation accuracy: 0.9198902249336243, test accuracy: 0.9158263206481934
Epoch 116/200, time elapsed: 5087.35s, training loss: 254.2496865012429, validation loss: 387.65142822265625 -- validation accuracy: 0.9090591669082642, test accuracy: 0.9158263206481934
Epoch 117/200, time elapsed: 5130.28s, training loss: 262.7530115300959, validation loss: 346.2450256347656 -- validation accuracy: 0.9162915349006653, test accuracy: 0.9158263206481934
Epoch 118/200, time elapsed: 5173.47s, training loss: 262.0445103500829, validation loss: 360.0315246582031 -- validation accuracy: 0.9121891260147095, test accuracy: 0.9158263206481934
Epoch 119/200, time elapsed: 5216.78s, training loss: 267.2510301994555, validation loss: 336.15728759765625 -- validation accuracy: 0.9187374711036682, test accuracy: 0.9158263206481934
Epoch 120/200, time elapsed: 5259.64s, training loss: 254.7008953672467, validation loss: 326.6576232910156 -- validation accuracy: 0.9198763966560364, test accuracy: 0.9158263206481934
